Source.Name,ticker,time,open,high,low,close,Volume
ABSA.csv,ABSA,14/09/2020,9.8,10,9.8,9.84,825100
ABSA.csv,ABSA,21/09/2020,9.8,10,9.6,9.98,4024700
ABSA.csv,ABSA,28/09/2020,10.2,10.8,9.66,9.8,4160000
ABSA.csv,ABSA,05/10/2020,9.82,9.9,9.36,9.44,2574100
ABSA.csv,ABSA,12/10/2020,9.4,9.8,9.3,9.8,316300
ABSA.csv,ABSA,19/10/2020,9.8,9.8,9.4,9.6,421800
ABSA.csv,ABSA,26/10/2020,9.5,9.6,9.3,9.4,3364200
ABSA.csv,ABSA,02/11/2020,9.5,9.6,9,9.6,282000
ABSA.csv,ABSA,09/11/2020,9.5,10,9.42,9.66,7733400
ABSA.csv,ABSA,16/11/2020,9.86,10.1,9.42,9.520001,6863100
ABSA.csv,ABSA,23/11/2020,9.76,9.76,9.2,9.6,7051500
ABSA.csv,ABSA,30/11/2020,9.6,9.96,9.3,9.7,2065900
ABSA.csv,ABSA,07/12/2020,9.72,9.8,9.2,9.520001,1859400
ABSA.csv,ABSA,14/12/2020,9.5,9.68,9.1,9.3,2977700
ABSA.csv,ABSA,21/12/2020,9.2,9.9,9.16,9.4,794200
ABSA.csv,ABSA,28/12/2020,9.4,9.88,9.24,9.42,201300
ABSA.csv,ABSA,04/01/2021,9.8,9.8,9.36,9.6,2507800
ABSA.csv,ABSA,11/01/2021,9.7,9.78,9.38,9.5,952600
ABSA.csv,ABSA,18/01/2021,9.5,9.78,9.4,9.46,872900
ABSA.csv,ABSA,25/01/2021,9.46,9.46,9,9.3,629000
ABSA.csv,ABSA,01/02/2021,9.36,9.38,8.9,9.1,4382800
ABSA.csv,ABSA,08/02/2021,9.3,9.6,9.1,9.6,2754900
ABSA.csv,ABSA,15/02/2021,9.5,9.7,9.5,9.66,2919100
ABSA.csv,ABSA,22/02/2021,9.7,9.9,9.6,9.8,1665000
ABSA.csv,ABSA,01/03/2021,9.8,9.8,9.24,9.64,318700
ABSA.csv,ABSA,08/03/2021,9.7,9.7,9.34,9.36,1062900
ABSA.csv,ABSA,15/03/2021,9.42,9.6,9.24,9.48,1168800
ABSA.csv,ABSA,22/03/2021,9.48,9.48,8.5,8.98,2099100
ABSA.csv,ABSA,29/03/2021,8.6,9,8.5,8.82,1405600
ABSA.csv,ABSA,05/04/2021,9,9,8.7,8.9,793300
ABSA.csv,ABSA,12/04/2021,8.9,9,8.7,8.84,445700
ABSA.csv,ABSA,19/04/2021,8.84,8.86,8.6,8.7,974400
ABSA.csv,ABSA,26/04/2021,8.78,8.8,8.6,8.8,816900
ABSA.csv,ABSA,03/05/2021,8.8,8.9,8.6,8.82,420400
ABSA.csv,ABSA,10/05/2021,8.84,8.88,8.7,8.86,806900
ABSA.csv,ABSA,17/05/2021,8.88,9.16,8.8,9.14,1019700
