ticker,time,open,high,low,close,Volume
IMH,14/09/2020,22.424999,23,22.25,22.25,92000
IMH,21/09/2020,22.375,22.5,21.75,22.5,271200
IMH,28/09/2020,22,23,21.525,21.775,172400
IMH,05/10/2020,21.775,22,21.75,21.75,43000
IMH,12/10/2020,22,22,21.75,22,1043200
IMH,19/10/2020,21.799999,22.5,21.775,22.5,6800
IMH,26/10/2020,22,22,22,22,16600
IMH,02/11/2020,21.975001,22,21.549999,21.549999,17200
IMH,09/11/2020,21.600001,22,21.600001,22,37200
IMH,16/11/2020,21.65,22.5,21.65,22.5,124800
IMH,23/11/2020,21.75,23,21.75,23,345600
IMH,30/11/2020,22.75,23,21.75,23,554600
IMH,07/12/2020,22,23,22,23,1233200
IMH,14/12/2020,23,23.65,22.375,23,665200
IMH,21/12/2020,22,23,21.5,23,4331400
IMH,28/12/2020,22.5,23,22.5,22.5,4800
IMH,04/01/2021,22.5,22.75,21.75,22.75,425000
IMH,11/01/2021,22.5,23,21.5249995,21.75,1288600
IMH,18/01/2021,22,23,22,23,129000
IMH,25/01/2021,23.25,23.25,23,23.25,1303600
IMH,01/02/2021,23.5,23.5,21.7749995,22.5,138400
IMH,08/02/2021,22.5,22.5,21,22.5,2717200
IMH,15/02/2021,22.25,22.5,21.5,22.5,155000
IMH,22/02/2021,22.5,23,21.25,22.475001,221200
IMH,01/03/2021,22.475001,22.475001,22,22.299999,72000
IMH,08/03/2021,22.475001,22.5,21.375,21.5,2132800
IMH,15/03/2021,21.5,22.475001,21.5,22.475001,1377800
IMH,22/03/2021,21.525,22.9,21.5,21.950001,952400
IMH,29/03/2021,21.5,27.25,21.299999,24.25,1025000
IMH,05/04/2021,26,26.5,23.5,23.5,1672200
IMH,12/04/2021,24.225001,24.225001,22.875,23,1080400
IMH,19/04/2021,23,23,22.25,22.5,2647200
IMH,26/04/2021,22.5,24.975001,22,22,2958000
IMH,03/05/2021,23.9,23.9,21.25,21.25,4468200
IMH,10/05/2021,23.25,26,21,24.1,2104300
IMH,17/05/2021,24.25,24.25,23,23.299999,38600
IMH,24/05/2021,22.950001,23,20.5,22,227800
IMH,31/05/2021,21.549999,23,21,22.299999,106300
IMH,07/06/2021,22.450001,22.450001,21.35,21.5,289400
IMH,14/06/2021,22,22,21,21.85,155000
IMH,21/06/2021,21.85,21.9,21,21.9,285000
IMH,28/06/2021,22.9,22.9,21.200001,21.9,820400
IMH,05/07/2021,21.9,22.950001,21.5,21.5,870800
IMH,12/07/2021,22.9,22.9,21.4,21.5,2630900
IMH,19/07/2021,22.85,22.9,21.450001,22,1488900
IMH,26/07/2021,22.85,23,22.25,22.75,110400
IMH,02/08/2021,22.75,22.950001,21.75,22.5,412100
IMH,09/08/2021,22.65,22.950001,22.299999,22.950001,512800
IMH,16/08/2021,23,23,22.6,23,809700
IMH,23/08/2021,23,23,22.75,22.9,574000
IMH,30/08/2021,23,23.299999,22.5,22.700001,1528300
IMH,06/09/2021,22.700001,23.4,22.450001,22.5,156600
